,year,total_visitors,total_new,total_returns,from_11201,Temperature,avg_visits_per_hour,avg_returns_per_hour,avg_new_per_hour,avg_from_11201_per_hour,ratio_11201,day,week,month,precipitation,cloud_cover,snow,rain
0,2015,62.285714285714285,51.59183673469388,10.693877551020408,,65.03367346938774,18.142857142857142,3.3010204081632653,14.841836734693878,,,4.63265306122449,42.63265306122449,10.142857142857142,0.0028265306122448983,0.2675,0.0,0.2857142857142857
1,2016,60.43589743589744,38.702564102564104,21.57948717948718,25.392265193370164,63.856205128205154,19.185897435897434,7.62051282051282,11.505128205128205,8.907458563535911,0.5191854090383495,3.712820512820513,25.73846153846154,6.435897435897436,0.0034200000000000003,0.2993846153846154,0.035897435897435895,0.38461538461538464
2,2017,51.50526315789474,28.763157894736842,22.8,21.91578947368421,62.18126315789479,16.67763157894737,8.077631578947368,8.623684210526315,7.935526315789474,0.5354950523666675,3.7526315789473683,25.573684210526316,6.3578947368421055,0.0032178947368421053,0.3449999999999999,0.031578947368421054,0.4052631578947368
3,2018,48.37948717948718,22.887179487179488,25.143589743589743,22.276923076923076,62.26779487179487,15.973076923076922,8.930769230769231,6.95,8.153846153846153,0.5510880288815949,3.7487179487179487,25.615384615384617,6.348717948717948,0.003955913978494622,0.47591397849462364,0.026881720430107527,0.45161290322580644
4,2019,47.392857142857146,21.678571428571427,25.571428571428573,23.80952380952381,51.21690476190476,15.446428571428571,9.023809523809524,6.386904761904762,8.470238095238095,0.5815296707958864,3.7261904761904763,11.345238095238095,3.0,0.004538666666666666,0.5061333333333335,0.02666666666666667,0.44
