Date,Zip code,# in Group,# New,# Returns,Temperature,Weather,Date/Time,11201
2/8/2020,11201,2,,2,39,cloudy,2/8/2020 14:59:28,
2/8/2020,16484,4,4,,39,cloudy,2/8/2020 15:02:10,
2/8/2020,11201,2,2,,39,cloudy,2/8/2020 15:12:35,
2/8/2020,11201,2,,2,39,cloudy,2/8/2020 15:18:08,
2/8/2020,10019,3,3,,39,cloudy,2/8/2020 15:26:31,
2/8/2020,11201,1,,1,39,cloudy,2/9/2020 13:05:27,
2/8/2020,10044,3,,3,39,cloudy,2/8/2020 15:37:06,
2/8/2020,11201,4,,4,39,cloudy,2/8/2020 15:48:43,
2/8/2020,10018,4,4,,39,cloudy,2/8/2020 15:51:06,
2/8/2020,11201,2,2,,39,cloudy,2/8/2020 16:01:48,
2/8/2020,11201,2,,2,39,cloudy,2/8/2020 16:02:05,
2/8/2020,10065,2,2,,39,cloudy,2/8/2020 16:02:34,
2/8/2020,11201,2,,2,39,cloudy,2/8/2020 16:30:28,
2/8/2020,11201,3,,3,39,cloudy,2/8/2020 16:31:06,
2/8/2020,11201,3,,3,39,cloudy,2/8/2020 16:33:54,
2/8/2020,11201,3,,3,39,cloudy,2/8/2020 16:41:41,
2/8/2020,11201,3,,3,39,cloudy,2/8/2020 16:43:07,
2/8/2020,11209,4,4,,39,cloudy,2/8/2020 16:47:39,
2/9/2020,11201,3,3,,45,Cloudy,2/9/2020 13:37:21,
2/9/2020,11201,5,,5,45,Cloudy,2/9/2020 14:09:32,
2/9/2020,37212,2,2,,45,Cloudy,2/9/2020 14:18:51,
2/9/2020,11201,3,,3,45,Cloudy,2/9/2020 14:30:41,
2/9/2020,11228,4,,4,45,Cloudy,2/9/2020 14:30:53,
2/9/2020,11201,3,,3,45,Cloudy,2/9/2020 14:32:13,
2/9/2020,11201,2,,2,45,Cloudy,2/9/2020 14:33:29,
2/9/2020,11205,3,1,2,45,Cloudy,2/9/2020 14:41:49,
2/9/2020,11210,2,2,,45,Cloudy,2/9/2020 14:53:34,
2/9/2020,11220,2,,2,45,Cloudy,2/9/2020 14:57:27,
