Date,Zip code,# in Group,# New,# Returns,Temperature,Weather
2/21/2016,11201,41,,,,
2/21/2016,11218,3,,,,
2/21/2016,11215,4,,,,
2/21/2016,11377,2,,,,
2/21/2016,11230,4,,,,
2/21/2016,11235,9,,,,
2/21/2016,10007,2,,,,
2/21/2016,10032,3,,,,
2/21/2016,11210,4,,,,
2/21/2016,11220,3,,,,
2/21/2016,7670,4,,,,
2/21/2016,11216,3,,,,
2/21/2016,8854,3,,,,
2/21/2016,7922,2,,,,
2/21/2016,10009,3,,,,
2/21/2016,10017,3,,,,
2/21/2016,11219,4,,,,
2/21/2016,10032,3,,,,
2/21/2016,10467,2,,,,
2/21/2016,11235,2,,,,
2/21/2016,11225,6,,,,
2/21/2016,11205,4,,,,
2/21/2016,11038,4,,,,
2/21/2016,11367,1,,,,
2/21/2016,10307,2,,,,
2/21/2016,32550,1,,,,
2/21/2016,11355,1,,,,
2/21/2016,11204,4,,,,
2/21/2016,11214,5,,,,
2/21/2016,Germany,1,,,,
2/23/2016,"""Unknown""",0,0,4,37,Rainy
2/23/2016,11201,4,,,,
2/25/2016,"""Unknown""",0,8,18,46,cloudy/ rainy
2/25/2016,11201,19,,,,
2/25/2016,11361,3,,,,
2/25/2016,Spain,4,,,,
2/27/2016,"""Unknown""",2,78,29,39,sunny 
2/27/2016,11201,37,,,,
2/27/2016,10025,6,,,,
2/27/2016,11232,3,,,,
2/27/2016,11236,3,,,,
2/27/2016,11206,3,,,,
2/27/2016,11214,7,,,,
2/27/2016,16801,1,,,,
2/27/2016,11205,2,,,,
2/27/2016,11373,2,,,,
2/27/2016,15228,2,,,,
2/27/2016,16802,2,,,,
2/27/2016,10792,1,,,,
2/27/2016,7470,1,,,,
2/27/2016,18635,1,,,,
2/27/2016,23464,1,,,,
2/27/2016,15701,1,,,,
2/27/2016,63040,1,,,,
2/27/2016,10038,1,,,,
2/27/2016,11216,2,,,,
2/27/2016,10038,12,,,,
2/27/2016,11949,2,,,,
2/27/2016,11233,4,,,,
2/27/2016,2115,2,,,,
2/27/2016,11209,4,,,,
2/27/2016,11231,4,,,,
2/28/2016,"""Unknown""",12,145,37,62,sunny 
2/28/2016,11201,59,,,,
2/28/2016,6107,4,,,,
2/28/2016,France,6,,,,
2/28/2016,11714,3,,,,
2/28/2016,10024,3,,,,
2/28/2016,11231,4,,,,
2/28/2016,11204,3,,,,
2/28/2016,10002,6,,,,
2/28/2016,10983,4,,,,
2/28/2016,11220,2,,,,
2/28/2016,10075,3,,,,
2/28/2016,11213,1,,,,
2/28/2016,10030,4,,,,
2/28/2016,11212,4,,,,
2/28/2016,11238,3,,,,
2/28/2016,11133,4,,,,
2/28/2016,11215,7,,,,
2/28/2016,11217,3,,,,
2/28/2016,11209,2,,,,
2/28/2016,10473,4,,,,
2/28/2016,10014,1,,,,
2/28/2016,10022,1,,,,
2/28/2016,11226,8,,,,
2/28/2016,11217,2,,,,
2/28/2016,Korea,5,,,,
2/28/2016,11229,3,,,,
2/28/2016,England,2,,,,
2/28/2016,11234,8,,,,
2/28/2016,11230,3,,,,
2/28/2016,11204,1,,,,
2/28/2016,11216,3,,,,
2/28/2016,11236,4,,,,
3/1/2016,"""Unknown""",1,7,15,46,sunny 
3/1/2016,11201,16,,,,
3/1/2016,11231,2,,,,
3/1/2016,11215,1,,,,
3/1/2016,11213,2,,,,
3/3/2016,"""Unknown""",4,20,24,40,sunny 
3/3/2016,11201,33,,,,
3/3/2016,11216,2,,,,
3/3/2016,11249,4,,,,
3/3/2016,11206,1,,,,
3/5/2016,"""Unknown""",2,47,31,41,fair/cloudy
3/5/2016,11201,30,,,,
3/5/2016,11416,4,,,,
3/5/2016,10457,3,,,,
3/5/2016,12571,2,,,,
3/5/2016,10603,4,,,,
3/5/2016,11231,2,,,,
3/5/2016,11217,4,,,,
3/5/2016,10458,1,,,,
3/5/2016,10803,4,,,,
3/5/2016,11234,5,,,,
3/5/2016,11230,3,,,,
3/5/2016,11218,2,,,,
3/5/2016,11215,5,,,,
3/5/2016,11224,5,,,,
3/5/2016,Chech Rep,2,,,,
3/6/2016,"""Unknown""",7,70,40,38,sunny 
3/6/2016,11201,44,,,,
3/6/2016,11215,3,,,,
3/6/2016,11213,3,,,,
3/6/2016,11435,3,,,,
3/6/2016,10010,1,,,,
3/6/2016,11231,10,,,,
3/6/2016,11372,8,,,,
3/6/2016,11230,2,,,,
3/6/2016,11222,3,,,,
3/6/2016,11221,3,,,,
3/6/2016,95207,1,,,,
3/6/2016,11214,4,,,,
3/6/2016,11204,4,,,,
3/6/2016,7020,4,,,,
3/6/2016,11741,1,,,,
3/6/2016,95126,2,,,,
3/6/2016,11220,2,,,,
3/6/2016,Switzerland,1,,,,
3/6/2016,North Carolina,4,,,,
3/8/2016,11201,4,,,,
3/8/2016,10003,1,,,,
3/8/2016,11227,1,,,,
3/8/2016,11217,2,,,,
3/8/2016,"""Unknown""",8,0,9,57,sunny 
3/8/2016,70806,1,,,,
3/10/2016,"""Unknown""",0,17,13,75,overcast
3/10/2016,11201,24,,,,
3/10/2016,10009,2,,,,
3/10/2016,11218,3,,,,
3/10/2016,15238,2,,,,
3/10/2016,11233,1,,,,
3/10/2016,11208,1,,,,
3/10/2016,Florida,2,,,,
3/12/2016,"""Unknown""",1,80,19,56,sunny 
3/12/2016,11201,28,,,,
3/12/2016,11231,11,,,,
3/12/2016,11206,2,,,,
3/12/2016,10003,1,,,,
3/12/2016,11217,2,,,,
3/12/2016,11222,1,,,,
3/12/2016,11218,3,,,,
3/12/2016,10128,2,,,,
3/12/2016,11238,9,,,,
3/12/2016,11229,3,,,,
3/12/2016,11224,4,,,,
